New-World-chat, chat
money-cowrie,-Cypraea moneta
Western-Australia-coral-pea,-Hardenbergia comnptoniana
aphid-lion,-aphis lion
monocarp,-monocarpic-plant,-monocarpous plant
ringdove,-Streptopelia risoria
rocking-chair, rocker
yellow-henbane,-Physalis viscosa
erect-bugle,-blue-bugle,-Ajuga genevensis
prairie-rattlesnake,-prairie-rattler,-Western-rattlesnake,-Crotalus viridis
blue-whale,-sulfur-bottom,-Balaenoptera musculus
adjutant-bird,-adjutant,-adjutant-stork,-Leptoptilus dubius
frilled-lizard,-Chlamydosaurus kingi
mustard,-mustard-greens,-leaf-mustard,-Indian mustard
Tangier-pea,-Tangier-peavine,-Lalthyrus tingitanus
tree cricket
cedar-of-Lebanon,-Cedrus libani
gourd,-gourd vine
sweet orange
coati,-coati-mondi,-coati-mundi,-coon-cat,-Nasua narica
cockscomb,-common-cockscomb,-Celosia-cristata,-Celosia-argentea cristata
Australian heath
shining-willow,-Salix lucida
leopardess
bison
ascidian
French sorrel
purple-stemmed aster
corkwood,-corkwood-tree,-Leitneria floridana
umbellifer,-umbelliferous plant
white turnip
threadfish,-thread-fish,-Alectis ciliaris
jerboa-kangaroo,-kangaroo jerboa
tea,-tea leaf
sand verbena
slender-wild-oat,-Avena barbata
psocopterous insect
banyan, banian
fallow-deer,-Dama dama
red-backed-sandpiper,-dunlin,-Erolia alpina
South-American-sea-lion,-Otaria Byronia
fuller's-teasel,-Dipsacus sativus
barosaur, barosaurus
pigfish,-giant-pigfish,-Achoerodus gouldii
gymnosperm
peony, paeony
saddlebill,-jabiru,-Ephippiorhynchus senegalensis
white-dipladenia,-Mandevilla-boliviensis,-Dipladenia boliviensis
water-speedwell,-Veronica-michauxii,-Veronica anagallis-aquatica
golden-barrel-cactus,-Echinocactus grusonii
Oriental-arborvitae,-Thuja-orientalis,-Platycladus orientalis
stanhopea
brown bat
fledgling, fledgeling
Myxine glutinosa
lyme grass
decumary,-Decumaria-barbata,-Decumaria barbara
Spanish mackerel
slender-tailed-meerkat,-Suricata suricatta
four o'clock
chokecherry
Siberian-millet,-Setaria-italica rubrofructa
rutabaga,-turnip-cabbage,-swede,-Swedish-turnip,-rutabaga-plant,-Brassica-napus napobrassica
golden-pheasant,-Chrysolophus pictus
horseleech
birch,-birch tree
leaf-cutting-bee,-leaf-cutter,-leaf-cutter bee
cottonwick,-Haemulon malanurum
tumblebug
gar,-garfish,-garpike,-billfish,-lepisosteus osseus
hog,-pig,-grunter,-squealer,-sus scrofa
copper-rockfish,-Sebastodes caurinus
bee fly
wild-licorice,-Galium lanceolatum
Sitka-willow,-silky-willow,-Salix sitchensis
pig-bed, pig
strap fern
sweet-melon,-muskmelon,-sweet-melon-vine,-Cucumis melo
water-mint,-water-mint,-Mentha aquatica
bolti,-Tilapia nilotica
common-fennel,-Foeniculum vulgare
Macadamia integrifolia
silver-bell-tree,-silverbell-tree,-snowdrop-tree,-opossum-wood,-Halesia-carolina,-Halesia tetraptera
diving petrel
peppermint,-Mentha piperita
arborvitae
woolly-indris,-Avahi laniger
